created_at,source,original_text,lang,sentiment,favorite_count,retweet_count,polarity,subjectivity,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place
Fri Jun 18 17:57:55 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","We are dying! Ugandans need the world to stand with them. We need oxygen, PPEs, #COVID19 vaccines and money to pay our over-stretched health workers.
World, we need each other! 

Oxygen failure kills 30 Covid patients at Mulago  https://t.co/o1K0IUGf6Z via @DailyMonitor",en,"Sentiment(polarity=-0.23645833333333335, subjectivity=0.3375)",855,485,-0.236458333,0.3375,saanchi_saxena,153,350,,['#COVID19'],"{'screen_name': 'DailyMonitor', 'name': 'Daily Monitor', 'id': 35697740, 'id_str': '35697740', 'indices': [257, 270]}",
Fri Jun 18 17:57:59 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#ERNReCONNET meeting: #SLE and #COVID19 #vaccines 

""That's the reason why ERNs were developed...""

#patientsinvolvement #bestpractices for people living with #SystemicLupusErythematosus https://t.co/IJluIIioyn",en,"Sentiment(polarity=0.1, subjectivity=0.3)",6,4,0.1,0.3,NatxRP,70,305,,"['#ERNReCONNET', '#SLE', '#COVID19', '#vaccines', '#patientsinvolvement', '#bestpractices', '#SystemicLupusErythematosus']",,"Barcelona, Espanya"
Fri Jun 18 17:57:59 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","""Africa needs millions more doses here &amp; now to curb the third wave.""

In the midst of a third wave of #COVID19 cases in #Africa, Dr @MoetiTshidi calls out for much-needed COVID-19 vaccine doses during this critical time. https://t.co/KUDPXpqq22",en,"Sentiment(polarity=0.125, subjectivity=0.325)",62,48,0.125,0.325,yuccaldo,1309,2619,FALSE,"['#COVID19', '#Africa']","{'screen_name': 'MoetiTshidi', 'name': 'Dr Matshidiso Moeti', 'id': 2412739760, 'id_str': '2412739760', 'indices': [137, 149]}","#mRNA/@pfizer 1.shot, 23.04"
Fri Jun 18 17:58:01 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","A new @EurobarometerEU survey shows 79% of Europeans intend to get vaccinated against #COVID19 this year. But people aged under 45 are more hesitant.

70% also believe the EU plays a key role in ensuring access to vaccines in their country. ðŸ‡ªðŸ‡º

More info ðŸ‘‡ #StrongerTogether",en,"Sentiment(polarity=0.20727272727272728, subjectivity=0.5709090909090909)",102,50,0.207272727,0.570909091,CaleEuropaEdic,2228,2720,FALSE,"['#COVID19', '#StrongerTogether']","{'screen_name': 'EurobarometerEU', 'name': 'Eurobarometer', 'id': 304876789, 'id_str': '304876789', 'indices': [6, 22]}",
Fri Jun 18 17:58:02 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","We are dying! Ugandans need the world to stand with them. We need oxygen, PPEs, #COVID19 vaccines and money to pay our over-stretched health workers.
World, we need each other! 

Oxygen failure kills 30 Covid patients at Mulago  https://t.co/o1K0IUGf6Z via @DailyMonitor",en,"Sentiment(polarity=-0.23645833333333335, subjectivity=0.3375)",855,486,-0.236458333,0.3375,chloekam09,478,441,FALSE,['#COVID19'],"{'screen_name': 'DailyMonitor', 'name': 'Daily Monitor', 'id': 35697740, 'id_str': '35697740', 'indices': [257, 270]}",
Fri Jun 18 17:58:08 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Thoughtful reflections on #VaccinEquity, #HPV vaccines &amp; #CervicalCancer elimination, from @uicc Board Member @DrZSB in @ASCO_pubs. If the world is committed, we can safeguard the #AfricanChild. #DAC2021 
#VaccinesWork
âž¡ï¸https://t.co/dUUQWimWgL
@dinamired @DrCaryAdams @DrAminaAB https://t.co/M9MRM3hvvJ https://t.co/hhiTj6VCcp",en,"Sentiment(polarity=0.4, subjectivity=0.5)",0,0,0.4,0.5,runciecwc,6467,2529,FALSE,"['#VaccinEquity', '#HPV', '#CervicalCancer', '#AfricanChild', '#DAC2021', '#VaccinesWork']",,Nigeria
Fri Jun 18 17:58:09 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Iâ€™m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember, there are 3 easy ways to find a #COVID19 vaccine near you:  
ðŸ” Search https://t.co/d2PDWIps8o  
ðŸ“±Text your ZIP code to 438829  
ðŸ“ž Call 1-800-232-0233 https://t.co/AMmcMmCtiP",en,"Sentiment(polarity=0.5083333333333333, subjectivity=0.7833333333333333)",687,222,0.508333333,0.783333333,Renee98929893,12,152,FALSE,"['#WeCanDoThis', '#COVID19']",,
Fri Jun 18 17:58:15 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","The US government is lying to us by pretending #Covid19 is over. It is not over. People are still dying daily. Vaccines are fantastic but they are not the only thing we need to do to save lives.

Call your elected officials! https://t.co/muzgCGzd2B",en,"Sentiment(polarity=0.13333333333333333, subjectivity=0.6333333333333333)",0,1,0.133333333,0.633333333,corrigan_david,2898,5001,FALSE,['#Covid19'],,"Los Angeles, CA"
Fri Jun 18 17:58:28 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",IBP South Africa and partners wrote to the Gauteng government in October last year highlighting that residents in Emfuleni Informal settlement do not have basic services to combat COVID - 8 months later the problem continues! #COVID Inequality ~ share the story!,en,"Sentiment(polarity=0.0, subjectivity=0.06388888888888888)",3,5,0,0.063888889,guyinthecorner1,249,375,,['#COVID'],,South Africa
Fri Jun 18 17:58:40 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[MB] ðŸŒ¸ WINNIPEG ðŸŒ¸ 
Available mRNA vaccines!
ðŸ“ Atlantic Medical Centre (1054 McPhillips Street)
ðŸ“ž: 204-505-1580
Call to confirm availability/book an appointment!

https://t.co/7OYAVc9tK1

#protectmb #VHCDose2 #COVID19MB #vhcMB",en,"Sentiment(polarity=0.25, subjectivity=0.2)",3,5,0.25,0.2,SandyBiback,910,575,,"['#protectmb', '#VHCDose2', '#COVID19MB', '#vhcMB']",,Canada
Fri Jun 18 17:58:43 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","More than 10,000 new cases in South Africa's latest report. Positivity rate above 20%. The third wave continues.
 (And two-thirds of new cases are in Gauteng province.)",en,"Sentiment(polarity=0.21212121212121207, subjectivity=0.40151515151515155)",7,6,0.212121212,0.401515152,FortuneThembo,214,855,FALSE,[],,"Johannesburg, South Africa"
Fri Jun 18 17:58:53 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",At least one take away seems to me to be that universities may still find themselves facing litigation even if they don't mandate #covid19 #vaccines.,en,"Sentiment(polarity=-0.3, subjectivity=0.4)",10,2,-0.3,0.4,JonathanKuo11,19,103,,"['#covid19', '#vaccines']",,
Fri Jun 18 17:59:01 +0000 2021,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",With the vaccination programme well underway it is important that employers continue to ensure their staff can findâ€¦ https://t.co/THVSYBFinh,en,"Sentiment(polarity=0.4, subjectivity=1.0)",0,0,0.4,1,TamesideCouncil,29688,1104,,[],,"Ashton-under-Lyne, England"
Fri Jun 18 17:59:10 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Not yet vaccinated against COVID-19? Sign up for an appointment and letâ€™s stop the spread! #WeCanDoThis #Arizona 

https://t.co/6SJjjtquRx",en,"Sentiment(polarity=0.0, subjectivity=0.0)",0,0,0,0,realjacobsumner,974,1329,FALSE,"['#WeCanDoThis', '#Arizona']",,"Glendale, AZ"
Fri Jun 18 17:59:13 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","You can get a #COVID19 vaccine and other vaccines, including flu and shingles, at the same visit. You no longer need to wait 14 days between vaccines. Side effects are the same if vaccines are given alone or together. 
 
More about vaccine timing: https://t.co/BV3mN5XdLe. https://t.co/RWrRzhKdEg",en,"Sentiment(polarity=0.09375, subjectivity=0.28125)",107,63,0.09375,0.28125,HIPhealthy,9396,7492,FALSE,['#COVID19'],,"Miami, Florida"
Fri Jun 18 17:59:14 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",HOARDING VACCINES IS COSTING LIVES.,en,"Sentiment(polarity=0.0, subjectivity=0.0)",64,27,0,0,Morteza22047559,784,601,,[],,Canada
Fri Jun 18 17:59:22 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Yet another amazingly qualified and courageous doctor, Roger Hodkinson, speaks out against the crazy government policy responses to COVID.  I have condensed his 45 minutes on The Hirewire to 6 Twitter size edits, starting with an overview of interventions and vaccines. https://t.co/WcVq32s9WD",en,"Sentiment(polarity=3.700743415417188e-17, subjectivity=0.6333333333333334)",536,349,3.70074E-17,0.633333333,williapa81,295,1450,FALSE,[],,
Fri Jun 18 17:59:24 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@AIPAC Will aipac tell the world that Israel has SOLD EXPIRED vaccines to Palestinians, which could have been disastrous to Palestinians, making the covid19 crisis far worse, leading to more Palestinian deaths? #ThisisIsrael. https://t.co/WTPn9XMSvs",en,"Sentiment(polarity=-0.125, subjectivity=0.725)",8,10,-0.125,0.725,LallaMina13,142,367,,['#ThisisIsrael'],"{'screen_name': 'AIPAC', 'name': 'AIPAC', 'id': 15987296, 'id_str': '15987296', 'indices': [0, 6]}","Earth, Milky way"
Fri Jun 18 17:59:36 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","17 June 2021: #COVID19 in South Africa ðŸ‡¿ðŸ‡¦

Daily test positivity rate at 22.6% today, that's a positive test for every 4-5 tests processed ðŸš©

The increase in test positivity rate, 7-day average at 18.7%, confirming the rapid rise in infections ðŸ“ˆ

#Rid1TweetsOnCovid #coronavirus https://t.co/LKarZlmwgg",en,"Sentiment(polarity=0.025757575757575757, subjectivity=0.3151515151515151)",160,63,0.025757576,0.315151515,marissalangeni,1070,666,,"['#COVID19', '#Rid1TweetsOnCovid', '#coronavirus']",,JHB
